First_Name,Last_Name,Phone,Email,Password,Active,Date_Created,Hire_Date,Emp_Type
Jill,Balducci,883-188-1536,lbalducci0@twitpic.com,123abc,true,9/24/2022,2/26/2022,Employee
Katina,Sessions,863-876-9680,bsessions1@telegraph.co.uk,789efg,false,10/2/2022,6/24/2022,Manager
Pace,Spinozzi,370-885-7969,ispinozzi2@yellowpages.com,Gtlwjz3MdOlD,true,8/15/2022,7/1/2022,Employee
Caitrin,Annis,230-916-8330,aannis3@vkontakte.ru,RPzRKm9W,true,1/21/2022,1/6/2022,Employee
Ruddie,Rasell,368-961-9121,brasell4@nhs.uk,YEMkIkf6N02,false,6/29/2022,11/9/2022,Employee
Jacky,Baty,134-701-9003,tbaty5@timesonline.co.uk,PL9gtzT158,true,9/7/2022,1/13/2022,Employee
Brunhilda,Norssister,262-841-6640,enorssister6@hao123.com,AJMFYo4nh,true,11/4/2022,5/14/2022,Employee
Belvia,Deason,281-921-4511,fdeason7@bbb.org,e814XvWq9K5W,false,11/15/2022,3/3/2022,Employee
Fabian,Alelsandrowicz,865-523-1923,aalelsandrowicz8@163.com,mZDY6r2PMtK,false,9/9/2022,3/12/2022,Employee
Lucio,Swaby,169-277-2695,aswaby9@shutterfly.com,asXQHbPRBjjy,false,5/15/2022,6/10/2022,Manager
