Emp_Id,First_Name,Last_Name,Phone,Email,Password,Active,User_Created,Hire_Date,Emp_Type
1,Jill,Balducci,883-188-1536,lbalducci0@twitpic.com,4zTi5qPAP7vA,true,9/24/2022,2/26/2022,Lynda
2,Katina,Sessions,863-876-9680,bsessions1@telegraph.co.uk,ti4pVRRM,false,10/2/2022,6/24/2022,Brit
3,Pace,Spinozzi,370-885-7969,ispinozzi2@yellowpages.com,Gtlwjz3MdOlD,true,8/15/2022,7/1/2022,Ida
4,Caitrin,Annis,230-916-8330,aannis3@vkontakte.ru,RPzRKm9W,true,1/21/2022,1/6/2022,Alie
5,Ruddie,Rasell,368-961-9121,brasell4@nhs.uk,YEMkIkf6N02,false,6/29/2022,11/9/2022,Bendick
6,Jacky,Baty,134-701-9003,tbaty5@timesonline.co.uk,PL9gtzT158,true,9/7/2022,1/13/2022,Tresa
7,Brunhilda,Norssister,262-841-6640,enorssister6@hao123.com,AJMFYo4nh,true,11/4/2022,5/14/2022,Ellerey
8,Belvia,Deason,281-921-4511,fdeason7@bbb.org,e814XvWq9K5W,false,11/15/2022,3/3/2022,Florence
9,Fabian,Alelsandrowicz,865-523-1923,aalelsandrowicz8@163.com,mZDY6r2PMtK,false,9/9/2022,3/12/2022,Arlee
10,Lucio,Swaby,169-277-2695,aswaby9@shutterfly.com,asXQHbPRBjjy,false,5/15/2022,6/10/2022,Anet
11,Nonnah,Elms,929-980-1130,selmsa@admin.ch,PjBH42,true,7/10/2022,3/2/2022,Scarlet
12,Raquela,Cuer,480-862-4289,ncuerb@51.la,2WIiCNNmN0,true,3/12/2022,3/15/2022,Norma
13,Joby,Pawlicki,254-605-1872,lpawlickic@issuu.com,2kHen9f,true,6/29/2022,1/18/2022,Lesly
14,Patti,Duckerin,587-425-8054,sduckerind@columbia.edu,7GHVBBeO,false,4/19/2022,7/24/2022,Shannah
15,Carmina,Alred,944-659-7744,galrede@discuz.net,2DQYGKy,false,11/10/2022,6/4/2022,Goober
16,Aimil,Sygroves,154-905-9598,rsygrovesf@cloudflare.com,vTcr0S2rBMX,true,5/20/2022,1/23/2022,Reese
17,Phaidra,Chavey,500-129-1466,lchaveyg@biglobe.ne.jp,FcRjUmKEDnw,true,10/29/2022,9/16/2022,Lanette
18,Peta,Melonby,516-761-0067,lmelonbyh@stanford.edu,IhrfawfqqL8i,true,10/13/2022,11/12/2022,Lisa
19,Fred,Patek,543-494-9615,rpateki@tiny.cc,A0NOt74g,true,9/3/2022,4/2/2022,Rania
20,Babbie,Tattersall,485-551-9885,ntattersallj@google.ru,zt0LgjrmC0d,false,3/4/2022,12/21/2021,Nanni
